,Intercept,Score,Coef
"1287.98, 1316.25",[0.30680207],0.21368579781039032,[[-0.41985574]]
"1287.98, 1324.02",[0.15503994],0.287868590401949,[[0.4772168]]
"1287.98, 1326.32",[0.34921732],0.20304578956947006,[[-0.47621069]]
"1287.98, 1335.97",[0.01020588],0.9178939028505095,[[0.76536507]]
"1287.98, 1338.0",[0.00477322],0.4912622327689535,[[0.60304878]]
"1287.98, 1347.06",[0.02598073],0.31081779728102,[[0.09182772]]
"1287.98, 1359.97",[0.00051146],0.46197369294176305,[[0.4429514]]
"1288.37, 1303.62",[0.03750807],0.24485354725184472,[[0.72490886]]
"1288.62, 1291.87",[0.01024562],0.5566740059900603,[[0.62574736]]
"1288.62, 1292.37",[0.00977193],0.26608078486808673,[[0.17934874]]
"1288.62, 1294.87",[0.01379597],0.31676997075544067,[[0.62193664]]
"1288.62, 1295.81",[0.0103628],0.20753579407003575,[[0.42366032]]
"1288.62, 1301.87",[0.01089349],0.3860735765598239,[[0.44315948]]
"1288.62, 1307.87",[0.01308279],0.21998827056511805,[[0.33799767]]
"1288.62, 1308.87",[0.0039984],0.5860618703512979,[[0.58656589]]
"1288.62, 1314.87",[0.01111481],0.20087650283018488,[[0.34614889]]
"1288.62, 1318.87",[0.031522],0.24174447690561676,[[0.28329169]]
"1288.62, 1321.82",[0.01096541],0.4030996367558405,[[0.58588742]]
"1288.62, 1322.86",[0.01583506],0.40383828659050136,[[0.45787527]]
"1288.62, 1324.72",[0.01397157],0.36838748282746425,[[0.21985408]]
"1288.62, 1329.82",[0.01239381],0.21434634946659592,[[0.3444795]]
"1288.62, 1334.75",[0.01761988],0.2832317679945878,[[0.19283617]]
"1288.62, 1336.81",[0.01312339],0.6372667184296953,[[0.23097055]]
"1288.62, 1337.81",[0.01275882],0.586175950968029,[[0.2136115]]
"1288.62, 1338.3",[0.02606905],0.2480238214199847,[[0.10130804]]
"1288.62, 1340.79",[0.01299677],0.3130308458880342,[[0.48050279]]
"1288.62, 1341.85",[0.01797061],0.2664450226181634,[[0.34390982]]
"1288.62, 1347.8",[0.01130468],0.2169857705694197,[[0.46792461]]
"1288.87, 1297.62",[0.0320157],0.2762828708270789,[[0.41986315]]
"1288.87, 1302.62",[0.03011857],0.23866779632723445,[[0.86311566]]
"1288.87, 1306.73",[0.01290886],0.5542456398968559,[[0.46236243]]
"1288.87, 1330.79",[0.00987529],0.8115364113045354,[[0.42864896]]
"1288.87, 1337.81",[0.01723312],0.484886341263091,[[0.248364]]
"1289.11, 1295.0",[0.00079537],0.313777365792955,[[0.16418605]]
"1289.11, 1299.07",[0.01628728],0.21432535588889023,[[0.20323848]]
"1289.11, 1311.98",[0.00223169],0.8021503287173397,[[0.86150154]]
"1289.11, 1312.72",[0.01241788],0.2236224520795168,[[0.11670042]]
"1289.11, 1312.98",[0.00516556],0.6736927758843143,[[0.97367327]]
