,Intercept,Score,Coef
"1327.33, 1338.3",[0.01638131],0.3130416827884742,[[0.32432697]]
"1327.33, 1340.32",[0.0602314],0.20755099123410903,[[1.57756574]]
"1327.33, 1341.32",[0.06666246],0.6256307226007309,[[1.38371508]]
"1327.33, 1348.02",[0.27571698],0.34650177619807687,[[-0.97192577]]
"1332.21, 1338.3",[0.02838052],0.22896504626619363,[[0.23832603]]
"1332.21, 1340.32",[0.11369053],0.34601566815278884,[[1.32989252]]
"1332.21, 1341.32",[0.10186472],0.3480815169850161,[[1.32161036]]
"1336.98, 1359.97",[0.00332568],0.7577623404378486,[[0.3544985]]
"1337.98, 1359.97",[0.01144457],0.7852835694901938,[[0.58218285]]
"1338.3, 1347.02",[0.88640203],0.3235922688982096,[[-4.37768829]]
"1340.32, 1347.02",[0.92011407],0.3292348596532073,[[-0.92847994]]
"1340.32, 1348.02",[0.27162114],0.2018050577616629,[[-0.37699391]]
"1340.32, 1349.03",[0.05273036],0.3084873551650249,[[-0.07389024]]
"1341.32, 1349.03",[0.05625024],0.27479553405770507,[[-0.09552477]]
"1342.32, 1348.02",[0.26622163],0.3034858302496669,[[-1.01891941]]
