x,y,score
400.16,412.16,0.806519091
445.22,485.21,0.806475768
447.2,461.21,0.806341335
501.24,513.24,0.806297921
542.23,584.28,0.806178451
431.2,459.23,0.805964159
471.2,530.23,0.805931376
499.19,586.26,0.805646143
458.2,502.24,0.805640696
517.24,532.25,0.805554983
442.17,472.22,0.805537783
404.19,431.2,0.80545413
431.2,446.2,0.805424184
457.18,584.28,0.805147095
443.2,502.24,0.804978207
470.2,527.26,0.804863372
461.21,470.2,0.804852872
483.2,527.22,0.804721745
430.17,544.25,0.804492324
446.2,470.2,0.804441488
445.22,527.22,0.804189354
446.2,513.21,0.804105439
441.19,471.2,0.803835432
446.2,516.22,0.803516947
470.2,528.22,0.803319024
513.21,570.23,0.803285037
431.2,444.22,0.803258499
424.16,442.17,0.802978968
458.2,499.23,0.802681772
458.2,460.22,0.802568822
456.19,470.2,0.802497357
430.17,542.23,0.80249687
499.19,511.23,0.802467019
442.17,570.23,0.802379972
445.18,457.22,0.802295822
487.19,598.26,0.802248731
442.17,572.24,0.802140116
472.22,487.19,0.802068849
530.23,544.25,0.801996424
457.22,513.24,0.801993092
428.19,430.21,0.801939599
433.18,502.24,0.801860736
430.17,432.19,0.801849576
445.22,470.2,0.801812643
386.18,390.14,0.8015513
442.17,516.22,0.801514004
460.22,461.21,0.800904303
461.21,530.23,0.800728665
404.19,445.18,0.800526959
400.16,458.2,0.800451693
432.19,446.2,0.800284443
429.19,527.22,0.800167457
428.15,428.19,0.800143169
517.24,544.25,0.800067417
445.18,529.24,0.800053395
431.2,501.21,0.800021338
428.19,432.19,0.800000288
400.16,485.21,0.799849687
457.22,511.23,0.799685615
446.2,459.23,0.799541844
443.2,513.24,0.799452106
428.19,586.26,0.799385124
487.23,497.21,0.798802079
471.2,514.24,0.798548517
472.22,528.22,0.798395107
529.24,598.26,0.798197383
473.21,529.24,0.79783809
430.21,432.19,0.797795116
416.15,457.18,0.797742341
460.22,502.24,0.797724796
430.17,446.2,0.797699012
