,L0_330_O,L0_330_H,L0_354_O,L0_354_H,L0_378_O,L0_378_H,L0_402_O,L0_402_H,L0_426_O,L0_426_H,L0_450_O,L0_450_H,L2_330_O,L2_330_H,L2_354_O,L2_354_H,L2_378_O,L2_378_H,L2_402_O,L2_402_H,L2_426_O,L2_426_H,L2_450_O,L2_450_H,L5_330_O,L5_330_H,L5_354_O,L5_354_H,L5_378_O,L5_378_H,L5_402_O,L5_402_H,L5_426_O,L5_426_H,L5_450_O,L5_450_H,L8_330_O,L8_330_H,L8_354_O,L8_354_H,L8_378_O,L8_378_H,L8_402_O,L8_402_H,L8_426_O,L8_426_H,L8_450_O,L8_450_H
187,,,,,,,,,,,0.13333333333333333,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,0.125,0.875,,,,,,,,,,,,,,,0.11764705882352941,1.1764705882352942,,,,,,,,,,
190,,,,,,,,,,,,,,,,,0.11764705882352941,1.0588235294117647,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,1.8571428571428572,,,,,,
192,,,,,0.11764705882352941,1.6470588235294117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,0.125,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,0.13333333333333333,0.9333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11764705882352941,1.8823529411764706,,,,,0.13333333333333333,1.0666666666666667,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11764705882352941,1.2941176470588236,,,,,,,,,,
198,,,,,,,,,,,,,,,,,0.11764705882352941,1.1764705882352942,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,2.0,,,,,,
200,,,,,,,,,,,0.14285714285714285,1.8571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,0.11764705882352941,1.7647058823529411,0.13333333333333333,1.3333333333333333,,,,,,,,,,,,,,,0.11764705882352941,0.9411764705882353,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,0.125,1.0,,,,,,,,,,,0.1111111111111111,0.6666666666666666,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,1.5714285714285714
207,,,,,,,,,,,,,,,,,0.11764705882352941,1.2941176470588236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,0.125,1.75,,,,,,,,,,,,,0.11764705882352941,1.411764705882353,,,,,,,,,,
209,,,,,,,,,,,0.13333333333333333,1.0666666666666667,,,,,,,,,0.13333333333333333,1.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11764705882352941,2.0,,,,,,,,,,,,
212,,,,,0.11764705882352941,1.8823529411764706,,,,,0.14285714285714285,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,0.7777777777777778,,,,,,,,,0.13333333333333333,0.8
214,,,,,,,0.13333333333333333,1.4666666666666666,,,,,,,,,,,0.15384615384615385,1.2307692307692308,,,0.11764705882352941,1.0588235294117647,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,0.7777777777777778,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11764705882352941,1.5294117647058822,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,0.125,1.875,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,0.125,1.125,,,,,,,,,,,,,,,,,,,0.13333333333333333,1.4666666666666666,,,,,,
220,,,,,0.1111111111111111,1.2222222222222223,,,,,0.13333333333333333,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,0.11764705882352941,1.411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,0.11764705882352941,2.0,,,,,,,,,,,,,,,0.13333333333333333,2.0,,,,,,,,,,,,,,,0.1111111111111111,0.8888888888888888,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,0.8888888888888888,0.10526315789473684,0.7368421052631579,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,0.11764705882352941,1.1764705882352942,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,0.15384615384615385,1.3846153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,0.9333333333333333
