,Unnamed: 0,0.5138,0.48382,0.4591,0.42902,0.47892,0.49402,0.42421,0.50394,0.48902,0.4137,0.46898,0.5189,0.4491,0.43906,0.40818,0.41865,0.54515,0.52428,0.53468,0.45396,0.47393,0.50893,0.44399,0.54982,0.53976,0.49902,0.52932,0.43418,0.46401
12698,"1315.19, 1323.3",,,[[2.17865244]],,[[2.79320328]],,,,[[2.51977701]],,[[2.65526817]],,,[[2.19577208]],,,,,,[[2.57799548]],[[2.17677551]],[[2.2490662]],,,,[[3.27722128]],,[[2.98622367]],[[1.86201744]]
12703,"1315.19, 1326.32",,,[[5.25970114]],,[[5.66906019]],,,,[[5.24866158]],,[[5.20388192]],,,[[5.40261007]],,,,,,,[[6.29368239]],[[5.17335009]],,,,[[5.1888415]],,[[7.78905228]],[[3.72351899]]
12706,"1315.19, 1327.33",,[[1.47753899]],,,,[[2.00016927]],,,[[1.5376287]],,,,,[[1.91258355]],,,,,,[[1.6741894]],[[1.43688741]],,,,,[[1.81718008]],,[[2.34075772]],[[1.76566112]]
12983,"1316.24, 1320.29",[[0.1214536]],,,[[0.1455249]],[[0.15022823]],[[0.14370807]],[[0.14590522]],[[0.13971021]],[[0.1515138]],,,,,,,,,[[0.1117718]],,,[[0.14227482]],[[0.13505982]],,,,,,,[[0.16903573]]
12986,"1316.24, 1321.29",[[0.12848393]],[[0.14298381]],[[0.12391812]],[[0.1325887]],[[0.12657866]],,,[[0.13807567]],,[[0.12888071]],[[0.14569416]],[[0.11992457]],,,,,,[[0.11264022]],,,[[0.14591418]],,,,,,[[0.12215596]],,
12989,"1316.24, 1322.3",,[[0.47438354]],[[0.46006681]],[[0.5086885]],[[0.48852544]],[[0.42984679]],[[0.46973714]],[[0.44021331]],[[0.46310926]],[[0.39489567]],[[0.48310271]],[[0.4456604]],[[0.51905934]],[[0.44042831]],[[0.53688278]],[[0.44149561]],,[[0.40166761]],,[[0.48657307]],[[0.47243828]],[[0.43599124]],,,[[0.37929859]],[[0.46781441]],[[0.42897025]],,[[0.46734507]]
12992,"1316.24, 1323.02",[[-0.89593439]],[[-1.03363837]],[[-1.36500754]],[[-0.64904879]],[[-1.18607437]],[[-0.72454783]],[[-2.03961887]],[[-0.841306]],[[-0.96319334]],[[-1.56579374]],[[-1.3120781]],,,,,[[-1.34218003]],,[[-0.77185506]],,[[-1.42950818]],,[[-0.9219101]],,[[-1.0102161]],[[-0.93257597]],[[-0.83809757]],,,[[-1.47973971]]
12997,"1316.24, 1323.3",,[[0.41593027]],[[0.40534052]],,[[0.4312073]],,[[0.4313221]],[[0.39144893]],[[0.40493013]],[[0.40601417]],[[0.42199075]],,[[0.45454511]],[[0.41030642]],[[0.49264061]],[[0.44498556]],,[[0.36887158]],,[[0.42258973]],[[0.41160981]],[[0.40669267]],,,[[0.29703308]],[[0.42476193]],[[0.35178665]],,[[0.39685942]]
12999,"1316.24, 1324.02",,,,,[[-0.37969614]],[[-0.23307534]],,[[-0.27744803]],,[[-0.40774998]],,,[[-0.42213345]],[[-0.53429545]],[[-0.73243162]],,,[[-0.24940004]],,[[-0.42172249]],[[-0.41023337]],,,,,,,,[[-0.45585454]]
13008,"1316.24, 1325.27",[[0.0844226]],[[0.10404912]],,,,[[0.0707077]],,,[[0.09763181]],,[[0.1211381]],,[[0.09273097]],,,,,,,[[0.09977025]],[[0.10802187]],[[0.09145014]],,,,[[0.09375912]],,,
13011,"1316.24, 1325.37",[[0.10447963]],[[0.10401422]],[[0.10390645]],,[[0.12188506]],[[0.12401005]],,[[0.09851918]],,,[[0.13009186]],,,[[0.11712238]],,,,,,[[0.11452378]],[[0.09523298]],,,,,[[0.12069471]],,,[[0.12622107]]
13012,"1316.24, 1326.32",[[0.89091281]],[[0.95323525]],[[0.95523484]],,[[0.95299381]],,[[1.11612335]],[[0.89673905]],[[0.9205407]],,[[0.96673309]],[[0.8836486]],[[1.02941752]],[[1.05529933]],[[1.31210828]],[[1.07658228]],[[0.70079947]],[[0.78335952]],,[[1.00140588]],[[0.96179789]],[[0.85966224]],,,[[0.78217023]],[[0.91890668]],[[0.8324]],,[[0.96982396]]
13016,"1316.24, 1327.33",,[[0.27434151]],,[[0.35716824]],,[[0.26069161]],,,[[0.24729066]],[[0.28255556]],,[[0.22426086]],[[0.29670991]],[[0.30877261]],,,,[[0.20335388]],,[[0.27715554]],[[0.25356746]],,,,,[[0.25074772]],,,[[0.28618266]]
13019,"1316.24, 1332.21",[[0.15306919]],,,[[0.19202324]],[[0.18487409]],[[0.17632027]],[[0.19141156]],,[[0.18666353]],,,,[[0.18941761]],,,,,[[0.1917918]],,,,[[0.16744835]],,,,,[[0.16787141]],,[[0.20239325]]
13035,"1316.24, 1340.32",[[0.14129313]],[[0.12995489]],,[[0.15952528]],[[0.15208783]],,,,,,,[[0.55073404]],,,,,,[[0.54072054]],,,[[0.65451734]],[[0.13649315]],,,,[[0.14043185]],[[0.13102074]],,
13041,"1316.24, 1342.29",,[[0.17232068]],,[[0.23286093]],,[[0.14759861]],,,,,,,,[[0.17754946]],,[[0.12246352]],,[[0.16229715]],,,[[0.18741641]],[[0.15350448]],,,,[[0.15309866]],[[0.15996497]],,[[0.21443804]]
13050,"1316.24, 1347.02",[[-0.9096788]],[[-1.00279519]],[[-1.35475945]],[[-0.6369484]],[[-1.19677927]],[[-0.75779285]],[[-1.90015644]],[[-0.86965805]],[[-0.99355715]],,[[-1.21139848]],,,[[-1.76548204]],[[-2.47516797]],[[-1.29159818]],,[[-0.69271569]],,[[-1.57863317]],,[[-0.91542265]],,[[-1.00974433]],[[-0.95064317]],[[-0.84666816]],[[-0.85211418]],,[[-1.48289702]]
13051,"1316.24, 1347.06",,[[-0.06445622]],[[-0.09380832]],,[[-0.07203386]],,,,,,[[-0.07851581]],,[[-0.06957282]],,,,,,,,[[-0.07056097]],[[-0.03567932]],,,,[[-0.06700357]],,,[[-0.05884155]]
13052,"1316.24, 1348.02",[[-0.30018936]],,,[[-0.18958538]],,[[-0.27716942]],[[-0.51662465]],[[-0.31144496]],,,,,,,[[-0.6845914]],,[[-0.32792022]],[[-0.26003092]],,,,[[-0.28935867]],,[[-0.31237911]],[[-0.32116647]],,[[-0.27729425]],,[[-0.48385674]]
13053,"1316.24, 1348.03",,,[[-0.4330887]],,[[-0.36767554]],,,,[[-0.32775769]],[[-0.49044907]],,,,[[-0.54621355]],,[[-0.38451748]],,,,[[-0.46133042]],[[-0.40928345]],,,,,[[-0.23080135]],,,
13054,"1316.24, 1349.03",[[-0.06350823]],[[-0.071049]],,,[[-0.07226228]],,[[-0.1383042]],[[-0.06641725]],,,,[[-0.07420655]],,[[-0.10618455]],,,,,,,,,,,,,[[-0.07055048]],,[[-0.08571356]]
