,newindices,pixel_x,pixel_y,ccat
R00X088Y073,0.49605601621401985,6.1097806,3.8309282,0.45299999999999996
R00X093Y073,0.45881027346336783,6.1657926,4.805954999999999,0.465
R00X094Y073,0.8683602893145687,6.176995,5.0009938,0.456
R00X095Y073,0.8991082361760194,6.188239199999999,5.1959908,0.462
R00X107Y073,0.9274595299783654,6.322709799999999,7.509871599999999,0.504
R00X109Y073,0.8670301814303663,6.3451146,7.922813799999999,0.44299999999999995
R00X110Y073,0.8951802878028039,6.356317,8.129264,0.46
R00X111Y073,0.21818868064621916,6.367519399999999,8.3357142,0.475
R00X124Y073,0.019764758442021094,6.513234199999999,10.900896600000001,0.511
R00X130Y073,0.9565813217703097,6.5804903999999995,12.1923076,0.498
R00X132Y073,0.8898731196620573,6.6028952,13.5225926,0.474
R00X133Y073,0.13446077844929932,6.614097599999999,14.187756,0.495
R00X135Y073,0.2968285092169313,6.6365023999999995,15.501195599999999,0.439
R00X139Y073,0.9020544112953193,6.6813538,16.229895,0.544
R00X143Y073,0.06914526447298994,6.726163399999999,16.8385866,0.41700000000000004
R00X146Y073,0.1690378257866685,6.7597706,17.3235084,0.506
R00X147Y073,0.10088270144283866,6.771014799999999,17.4800912,0.431
R00X148Y073,0.08747187218114154,6.782217199999999,17.636715799999998,0.465
R00X151Y073,0.06844552332829805,6.8158243999999995,18.106547799999998,0.507
R00X152Y073,0.06947613361181643,6.8270268,18.2631724,0.45
R00X153Y073,0.28905680327617106,6.838229199999999,18.419797,0.345
R00X155Y073,0.8933281434179265,6.860633999999999,18.750058799999998,0.433
R00X157Y073,0.009257661583913163,6.8830805999999995,19.090561599999997,0.45399999999999996
R00X161Y073,0.11121073643239436,6.927890199999999,19.7715672,0.47
R00X163Y073,0.8160967587801968,6.950295,20.11207,0.43200000000000005
R00X170Y073,0.5923230364904868,7.0287536,21.303871599999997,0.508
R00X171Y073,0.9062671634871952,7.039955999999999,21.474123,0.628
R00X173Y073,0.691561473562182,7.0624025999999995,21.814625799999998,0.43799999999999994
R00X181Y073,0.9072659548880038,7.152021799999999,23.176637,0.442
R00X183Y073,0.008946360103333833,7.174468399999999,23.5171398,0.455
R00X184Y073,0.7704980147435909,7.185670799999999,23.687391199999997,0.48700000000000004
R00X185Y073,0.915228756141919,7.1968732,23.857642599999995,0.496
R00X191Y073,0.046675672885499085,7.264129399999999,24.8791928,0.48700000000000004
R00X196Y073,0.8649830347615952,7.320141399999999,25.7304498,0.462
R00X200Y073,0.038279582627061146,7.3649928,26.4114554,0.47200000000000003
R00X202Y073,0.8956964945236208,7.387397599999999,26.7519582,0.45299999999999996
R00X216Y073,0.9005738600324688,7.544314799999999,29.1166678,0.45399999999999996
R00X217Y073,0.080949329995225,7.555517200000001,29.2837006,0.452
R00X219Y073,0.8602008343076474,7.577921999999999,29.617807999999997,0.51
R00X224Y073,0.8916176784536541,7.633933999999999,30.453097399999997,0.478
R00X225Y073,0.8949326508244586,7.645178199999999,30.6201302,0.523
R00X228Y073,0.8879004122920022,7.6787854,31.1213122,0.457
R00X229Y073,0.16738382107498115,7.689987799999998,31.288344999999996,0.461
R00X230Y073,0.31531219298143426,7.701190199999999,31.455419599999995,0.45899999999999996
R00X231Y073,0.3253317726548658,7.712392599999999,31.6224524,0.465
R00X234Y073,0.1889617917061955,7.7460416,32.1236344,0.46799999999999997
R00X237Y073,0.8732187589093194,7.779648799999999,32.624774599999995,0.406
R00X239Y073,0.7835372558851438,7.8020536,32.958881999999996,0.544
R00X243Y073,0.3270193834416395,7.846905,33.627096800000004,0.46
R00X247Y073,0.4041554123484337,7.891714599999999,34.2953116,0.479
R00X254Y073,0.9008950207927418,7.9701732,35.513447199999995,0.452
R00X255Y073,0.7912598554886389,7.9813756,35.6884638,0.504
R00X260Y073,0.8773296743379716,8.037429399999999,36.563546800000005,0.522
R00X261Y073,0.8639416492315031,8.048631799999999,36.7385634,0.446
R00X262Y073,0.13766765188528954,8.059834200000001,36.913579999999996,0.475
R00X266Y073,0.19142004739317228,8.1046438,37.613604599999995,0.496
R00X268Y073,0.8262733109458288,8.1270904,37.9636378,0.429
R00X270Y073,0.8470234313398022,8.1494952,38.313671,0.441
R00X273Y073,0.8351699490047222,8.1831024,38.8387208,0.512
R00X277Y073,0.1711087822178912,8.227953799999998,39.538787199999994,0.479
R00X279Y073,0.07788864025273134,8.2503586,39.8888204,0.545
R00X281Y073,0.9407161894917535,8.272763399999999,40.2394388,0.451
R00X283Y073,0.9548053829081621,8.295168199999999,40.590517,0.462
R00X287Y073,0.9551951773852992,8.3400196,41.292715199999996,0.455
R00X288Y073,0.9282425232171743,8.351222,41.468233399999995,0.473
R00X289Y073,0.9685294680805934,8.362424399999998,41.6437934,0.465
R00X291Y073,0.9720709855915528,8.3848292,41.994871599999996,0.441
R00X292Y073,0.9303945836545395,8.396031599999999,42.17043159999999,0.46299999999999997
R00X295Y073,0.9415042167735673,8.4296806,42.697069799999994,0.42700000000000005
R00X296Y073,0.9073990932060924,8.440883,42.872588,0.457
R00X298Y073,0.7269647831398158,8.463287799999998,43.2236662,0.466
R00X300Y073,0.80205935163376,8.4856926,43.5646288,0.456
R00X092Y074,0.26785251773858015,5.9674097999999995,4.7547082,0.48100000000000004
R00X099Y074,0.8817832597537598,6.0458684,6.1197707999999995,0.47
R00X101Y074,0.9115367528313923,6.0682732,6.509806599999999,0.429
R00X102Y074,0.8563093011374746,6.079475599999999,6.7048036,0.429
R00X107Y074,0.8766034296461456,6.135529399999999,7.685807799999998,0.494
R00X108Y074,0.8617536208432374,6.1467318,7.883020200000001,0.449
R00X112Y074,0.771278467966814,6.191541399999999,8.6717862,0.444
R00X118Y074,0.015399451485983439,6.258797599999999,9.8549352,0.467
R00X119Y074,0.013329600495038115,6.27,10.0521058,0.44
R00X120Y074,0.7607187274351543,6.2812024,10.2493182,0.496
R00X121Y074,0.030104096686249703,6.2924048,10.4464888,0.467
R00X129Y074,0.9277697282029985,6.3820658,12.024020799999999,0.45299999999999996
R00X131Y074,0.8817227069624571,6.4044706,13.320155199999999,0.42200000000000004
R00X135Y074,0.19286511969076967,6.4493219999999996,15.772561199999998,0.48200000000000004
R00X140Y074,0.431548853519997,6.5053339999999995,16.4207538,0.45899999999999996
R00X144Y074,0.11173611622354057,6.550185399999999,17.037052999999997,0.466
R00X145Y074,0.012618560890831574,6.561387799999999,17.193677599999997,0.45399999999999996
