,m/z,I,S/N,em,error,C,H,Class,dbe,,11062030927
8170,272.09282,1233336,7.3,272.0928315,1.15E-05,15,14,O4N1,,,
8173,272.10805,1294971,7.8,272.1080877,3.77E-05,19,14,O1N1,,,
8177,272.14451,26879172,212,272.1444732,3.68E-05,20,18,N1,,,
8180,272.16562,2604233,18.3,272.1656025,1.75E-05,17,22,O2N1,,,
8222,273.14956,1547435,9.8,273.1496181,5.81E-05,17,21,O3,,,
8229,273.18606,5997491,45.1,273.1860036,5.64E-05,18,25,O2,6,0.000542169,
8230,273.20712,1314360,7.9,273.207133,1.30E-05,15,29,O4,,,
8231,273.22236,1801659,11.8,273.2223891,2.91E-05,19,29,O1,,,
8257,274.08738,1553405,9.8,274.0873522,2.78E-05,18,12,O2N1,,,
8264,274.12375,1357189,8.3,274.1237377,1.23E-05,19,16,O1N1,,,
8267,274.16014,1720589,11.2,274.1601232,1.68E-05,20,20,N1,,,
8270,274.18124,1210386,7.1,274.1812526,1.26E-05,17,24,O2N1,,,
8308,275.10813,1600349,10.2,275.1077533,0.000376697,19,15,O2,12,0.00014467,
8312,275.12878,1439970,8.9,275.1288827,0.000102672,16,19,O4,,,
8317,275.1653,1946986,13,275.1652682,3.18E-05,17,23,O3,,,
8323,275.20168,11153265,86.1,275.2016537,2.63E-05,18,27,O2,5,0.001008247,
8325,275.23802,1974649,13.2,275.2380392,1.92E-05,19,31,O1,,,
8354,276.103,1339058,8.1,276.1030023,2.27E-06,18,14,O2N1,,,
8356,276.13938,1979962,13.2,276.1393878,7.78E-06,19,18,O1N1,,,
8362,276.1758,8588353,65.7,276.1757733,2.67E-05,20,22,N1,,,
8416,277.12344,1133704,6.5,277.1234034,3.66E-05,19,17,O2,11,0.000102486,
8420,277.14456,3045900,21.7,277.1445327,2.73E-05,16,21,O4,,,
8426,277.18092,1822739,12,277.1809182,1.76E-06,17,25,O3,,,
8430,277.2173,21408026,166.9,277.2173038,3.75E-06,18,29,O2,4,0.001935271,
8479,278.11866,2745811,19.2,278.1186523,7.66E-06,18,16,O2N1,,,
8485,278.15469,1320666,7.9,278.1550378,0.000347848,19,20,O1N1,,,
8489,278.19143,9929185,76.1,278.1914234,6.64E-06,20,24,N1,,,
8498,278.24893,1759597,11.4,278.2489382,8.23E-06,18,32,O1N1,,,
8543,279.13902,1347358,8.1,279.1390534,3.34E-05,19,19,O2,10,0.0001218,
8546,279.16015,1239331,7.3,279.1601828,3.28E-05,16,23,O4,,,
8547,279.17549,1166502,6.7,279.1754389,5.11E-05,20,23,O1,,,
8550,279.19647,1310122,7.8,279.1965683,9.83E-05,17,27,O3,,,
8552,279.23296,280844992,2219.8,279.2329538,6.18E-06,18,31,O2,3,0.025388194,
8588,280.11319,8411996,64,280.113173,1.70E-05,21,14,N1,,,
8589,280.13422,1549281,9.7,280.1343024,8.24E-05,18,18,O2N1,,,
8593,280.17067,1700712,10.9,280.1706879,1.79E-05,19,22,O1N1,,,
8598,280.26456,7108986,53.7,280.2645883,2.83E-05,18,34,O1N1,,,
8633,281.11819,1382812,8.4,281.118318,0.000127987,18,17,O3,,,
8635,281.15477,1550371,9.7,281.1547035,6.65E-05,19,21,O2,9,0.000140152,
