,m/z,I,S/N,em,error,C,H,Class
564,297.18596,4160856,28.5,297.1860036249,4.362490000175967e-05,20,25,O2
565,297.20709,14632795,106.5,297.2071329937,4.299369999216651e-05,17,29,O4
569,297.24343,2543908608,18930.1,297.24351850249997,8.850249997749415e-05,18,33,O3
570,297.27985,26652518,195.9,297.2799040113,5.401129999427212e-05,19,37,O2
571,298.08736,2860008,18.9,298.08735221029997,7.789700021021417e-06,20,12,O2N1
572,298.12372,17299438,126.3,298.12373771909995,1.771909995795795e-05,21,16,O1N1
575,298.16012,50374644,372.5,298.1601232279,3.2278999810841924e-06,22,20,N1
577,299.10773,4052616,27.7,299.1077533029,2.330289999008528e-05,21,15,O2
579,299.12895,3446667,23.2,299.1288826717,6.732829996280998e-05,18,19,O4
580,299.14419,9841806,70.8,299.1441388117,5.11883000058333e-05,22,19,O1
583,299.16532,3569553,24.1,299.1652681805,5.1819500015426456e-05,19,23,O3
586,299.20167999999995,4149399,28.5,299.2016536893,2.631069997960367e-05,20,27,O2
587,299.22282,18675866,136.6,299.2227830581,3.694190002079267e-05,17,31,O4
590,299.25911,28516512,209.8,299.2591685669,5.856689995198394e-05,18,35,O3
592,300.10307,5145378,35.9,300.1030022747,6.772530002763233e-05,20,14,O2N1
593,300.13936,36833576,271.7,300.13938778349996,2.7783499945144285e-05,21,18,O1N1
595,300.17581,49592620,366.7,300.1757732923,3.6707700019178446e-05,22,22,N1
598,300.19707,5940016,41.8,300.19690266109995,0.00016733890004161367,19,26,O2N1
603,301.08707999999996,6669240,46.9,301.0870178585,6.214149993866158e-05,20,13,O3
604,301.12332999999995,15015357,108.7,301.1234033673,7.336730004681158e-05,21,17,O2
607,301.14455,3570624,24.0,301.1445327361,1.72638999629271e-05,18,21,O4
608,301.15982,9355202,66.8,301.1597888761,3.112390004389454e-05,22,21,O1
611,301.18096,3483590,23.4,301.1809182449,4.175510002824012e-05,19,25,O3
614,301.21727000000004,3587019,24.1,301.2173037537,3.375369993818822e-05,20,29,O2
615,301.23849,19116494,139.0,301.2384331225,5.687750001470704e-05,17,33,O4
617,302.11859,17244754,125.2,302.1186523391,6.233909999764364e-05,20,16,O2N1
622,303.10261,8778467,62.5,303.10266792289997,5.792289994133171e-05,20,15,O3
